id	x	y	inslope	inaccel	expression	outslope	outaccel
1	0	0	0	0	cubic()		
1	834	0	0	0	cubic()	0	0
1	1804	0.40497974	0	0	cubic()	0	0
1	2936	0.0341048	-0.00017881392	0	cubic()	-0.00017881392	0
1	4009	-0.825135	0.00000372529	0	cubic()	0.00000372529	0
1	5400	0	0	0	cubic()		
2	0	0.3	0	0	cubic()		
2	834	0.263072	-0.00005960464	0	cubic()	-0.00005960464	0
2	1804	0.18831074	5.1915e-20	0	cubic()	5.1915e-20	0
2	2812	0.217107	-0.00011920928	0	cubic()	-0.00011920928	0
2	4031	0.224498	0.00010430812	0	cubic()	0.00010430812	0
2	5400	0.3	0	0	cubic()		
3	0	1.8	0	0	cubic()		
3	831	1.13755	-0.00023841856	0	cubic()	-0.00023841856	0
3	1790	0.27779174	-0.00035762784	0	cubic()	-0.00035762784	0
3	2936	-0.605605	-0.00017881392	0	cubic()	-0.00017881392	0
3	4031	-0.21769	0.0018477439	0	cubic()	0.0018477439	0
3	5400	1.8	0	0	cubic()		
7	0	-9.462	0	0	cubic()	0	0
7	834	-8.57328	0.00095367426	0	cubic()	0.00095367426	0
7	1804	-3.1850872	0	0	cubic()	0	0
7	2936	-3.27698	0	0	cubic()	0	0
7	4031	-3.46906	-0.00113046	0	cubic()	-0.00113046	0
7	5400	-9.462	0	0	cubic()		
8	0	0	0	0	cubic()	0	0
8	834	0	0	0	cubic()	0	0
8	1804	-0.034847256	0	0	cubic()	0	0
8	2936	0	0	0	cubic()	0	0
8	5400	0	0	0	cubic()		
9	0	0	0	0	cubic()	0	0
9	834	0	0	0	cubic()	0	0
9	1804	-0.034847256	0	0	cubic()	0	0
9	2936	0	0	0	cubic()	0	0
9	5400	0	0	0	cubic()		
10	0	0	0	0	cubic()	0	0
10	834	0	0	0	cubic()	0	0
10	1804	-0.5280712	0	0	cubic()	0	0
10	2936	-0.560564	0.00020861624	0	cubic()	0.00020861624	0
10	3878	0.0228192	0.00038743016	0	cubic()	0.00038743016	0
10	5400	0	0	0	cubic()		
11	0	0	0	0	cubic()	0	0
11	834	0	0	0	cubic()	0	0
11	1804	0.12021974	0	0	cubic()	0	0
11	2936	0.140393	-0.00002980232	0	cubic()	-0.00002980232	0
11	4031	0.131758	-0.0000289304	0	cubic()	-0.0000289304	0
11	5400	0	0	0	cubic()		
12	0	0	0	0	cubic()	0	0
12	834	0	0	0	cubic()	0	0
12	1804	-0.29893425	0	0	cubic()	0	0
12	2936	-0.177943	0.00008940696	0	cubic()	0.00008940696	0
12	4031	0.395172	0.00012665987	0	cubic()	0.00012665987	0
12	5400	0	0	0	cubic()		
