id	x	y	inslope	inaccel	expression	outslope	outaccel
1	0	0	0	0	cubic()		
1	834	0	0	0	cubic()	0	0
1	2698	1.3804017	-0.00035762784	0	cubic()	-0.00035762784	0
1	4269	-1.53797	-0.00065565103	0	cubic()	-0.00065565103	0
1	5400	0	0	0	cubic()		
2	0	0.3	0	0	cubic()		
2	834	0.263072	-0.00005960464	0	cubic()	-0.00005960464	0
2	2548	1.01016	0.00002980232	0	cubic()	0.00002980232	0
2	4266	-2.225191	-0.00041723248	0	cubic()	-0.00041723248	0
2	5400	0.3	0	0	cubic()		
3	0	1.8	0	0	cubic()		
3	831	1.13755	-0.00137926	0	cubic()	-0.00137926	0
3	2698	-0.8853505	0.00041723248	0	cubic()	0.00041723248	0
3	4263	-0.161976	0.0014305114	0	cubic()	0.0014305114	0
3	5400	1.8	0	0	cubic()		
10	0	0	0	0	cubic()	0	0
10	5400	0	0	0	cubic()	0	0
11	0	0	0	0	cubic()	0	0
11	5400	0	0	0	cubic()	0	0
12	0	0	0	0	cubic()	0	0
12	2651	-1.06685	0	0	cubic()	0	0
12	5400	0	0	0	cubic()		
